customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,93.4,5737.59,No
CUST0002,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,37.32,1836.33,No
CUST0003,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,48.57,7898.77,No
CUST0004,Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card,106.48,4487.89,No
CUST0005,Male,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer,108.51,5571.2,No
CUST0006,Female,0,Yes,No,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,24.49,964.84,No
CUST0007,Male,1,No,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Credit card,36.81,2020.23,No
CUST0008,Male,0,Yes,No,44,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,31.75,1135.13,No
CUST0009,Male,1,No,No,71,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card,37.97,3133.56,No
CUST0010,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,117.02,2287.4,No
CUST0011,Male,0,No,No,62,Yes,No phone service,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card,75.17,5868.72,No
CUST0012,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,66.81,887.5,Yes
CUST0013,Male,1,Yes,No,66,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer,118.45,6021.43,No
CUST0014,Male,1,Yes,Yes,58,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,No,Credit card,75.7,384.72,No
CUST0015,Female,0,No,Yes,68,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,86.11,1632.1,No
CUST0016,Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer,53.28,6339.88,No
CUST0017,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,58.21,5947.36,Yes
CUST0018,Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,79.44,3821.08,No
CUST0019,Female,1,No,Yes,30,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card,26.98,418.86,No
CUST0020,Male,0,Yes,No,21,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,45.59,4886.95,No
CUST0021,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,39.68,3265.66,No
CUST0022,Male,0,No,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card,21.59,2545.89,Yes
CUST0023,Female,1,No,No,53,No,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card,73.69,5130.48,No
CUST0024,Female,1,No,No,9,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,76.11,3504.18,No
CUST0025,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.39,757.52,No
CUST0026,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,46.87,7329.28,Yes
CUST0027,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,85.21,6232.37,No
CUST0028,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,33.47,469.9,Yes
CUST0029,Female,0,Yes,No,40,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,71.86,4210.01,No
CUST0030,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Mailed check,96.81,685.35,No
CUST0031,Male,0,Yes,Yes,34,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Electronic check,36.43,6701.57,Yes
CUST0032,Male,1,No,Yes,55,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer,95.33,4911.85,Yes
CUST0033,Female,1,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,96.08,1396.14,No
